St. Jude Medical. File Revision : 5.0.2
Export Data Element : Labels
Export from Study : study_dwsG800321_2015_03_09_16_45_41
Export from Segment : LA EPOCH 7
Export User Comments : Add comments here
Export files Stored in Dir : /var/STJ/Clinical/systemStudy/study_dwsG800321_2015_03_09_16_45_41/export/2017_10_21_18_50_23/
Export Start Time (h:m:s.msec) : 19:43:16.348
Export Start Time (secs usecs) : 1425930196 347994
Export End Time (h:m:s.msec) : 19:43:21.348
Export End Time (secs usecs) : 1425930201 347994
Export Duration (h:m:s.msec) : 00:00:05.000

Text: Label Name
Type: 3DP|3DE|3DD|DIF|ENS
   3DP: 3D label at an EnGuide electrode location BUT projected onto a surface, if possible
   3DE: 3D label at an EnGuide electrode location
   ENS: Surface label placed on an EnSite surface
   3DD: 3D label imported as part of a DIF file
   DIF: Surface label placed on a DIF surface
Surface: Name of surface on which label is placed or projected, if any
x,y,z: Coordinates of center of label in space
xt,yt,zt: Coordinates of transformed center of label in space
xw,yw,zw: Coordinates of actual center of label in space
Display: 0: NOT displayed, 1: Displayed, if possible
Visible: 0: NOT visible, 1: Visible

Number of waves (columns): ,11                  
Number of samples (rows): ,146                 
Text,Type,Surface,x,y,z,xt,yt,zt,xw,yw,zw,Display,Visible,
o,ENS,LA,20.437,-81.737,395.073,24.050,-66.040,389.790,24.316,-65.275,389.178,0,1
DE 3,ENS,LA,24.065,-82.231,396.965,27.314,-66.391,390.516,27.367,-65.605,389.555,0,1
o,ENS,LSPV,44.050,-58.940,392.093,46.017,-28.673,385.174,45.584,-30.942,385.880,0,1
o,ENS,LA,40.750,-57.906,392.575,43.059,-26.410,385.576,42.053,-26.933,384.107,0,1
o,ENS,LIPV,39.553,-56.527,392.550,41.890,-23.994,385.441,41.305,-23.699,384.428,0,1
o,ENS,LIPV,40.077,-55.272,390.666,42.279,-22.106,383.920,42.260,-22.104,383.892,0,1
o,ENS,LIPV,41.220,-54.069,387.830,43.223,-20.581,381.527,43.740,-20.673,381.776,0,1
o,ENS,LIPV,43.078,-53.365,384.812,44.831,-19.962,378.806,45.177,-20.053,378.952,0,1
o,ENS,LA,43.393,-55.614,381.797,45.657,-23.530,376.911,45.421,-23.554,376.832,0,1
o,ENS,LA,43.813,-58.112,381.001,46.373,-27.861,376.803,45.900,-27.921,376.690,0,1
o,ENS,LA,43.947,-60.142,383.267,46.596,-31.242,379.067,46.005,-31.367,378.983,0,1
